,run,group,RID
GC.RM.8672.BT5011.1_quant,GC.RM.8672.BT5011.1_quant,Control,ID001
GC.RM.8672.BT5011.10_quant,GC.RM.8672.BT5011.10_quant,Control,ID010
GC.RM.8672.BT5011.11_quant,GC.RM.8672.BT5011.11_quant,Control,ID011
GC.RM.8672.BT5011.12_quant,GC.RM.8672.BT5011.12_quant,Control,ID012
GC.RM.8672.BT5011.141_quant,GC.RM.8672.BT5011.141_quant,Mixture,ID141
GC.RM.8672.BT5011.142_quant,GC.RM.8672.BT5011.142_quant,Mixture,ID142
GC.RM.8672.BT5011.143_quant,GC.RM.8672.BT5011.143_quant,Mixture,ID143
GC.RM.8672.BT5011.144_quant,GC.RM.8672.BT5011.144_quant,Mixture,ID144
GC.RM.8672.BT5011.145_quant,GC.RM.8672.BT5011.145_quant,Mixture,ID145
GC.RM.8672.BT5011.146_quant,GC.RM.8672.BT5011.146_quant,Mixture,ID146
GC.RM.8672.BT5011.147_quant,GC.RM.8672.BT5011.147_quant,Mixture,ID147
GC.RM.8672.BT5011.148_quant,GC.RM.8672.BT5011.148_quant,Mixture,ID148
GC.RM.8672.BT5011.149_quant,GC.RM.8672.BT5011.149_quant,Mixture,ID149
GC.RM.8672.BT5011.150_quant,GC.RM.8672.BT5011.150_quant,Mixture,ID150
GC.RM.8672.BT5011.151_quant,GC.RM.8672.BT5011.151_quant,Mixture,ID151
GC.RM.8672.BT5011.152_quant,GC.RM.8672.BT5011.152_quant,Mixture,ID152
GC.RM.8672.BT5011.2_quant,GC.RM.8672.BT5011.2_quant,Control,ID002
GC.RM.8672.BT5011.3_quant,GC.RM.8672.BT5011.3_quant,Control,ID003
GC.RM.8672.BT5011.4_quant,GC.RM.8672.BT5011.4_quant,Control,ID004
GC.RM.8672.BT5011.5_quant,GC.RM.8672.BT5011.5_quant,Control,ID005
GC.RM.8672.BT5011.6_quant,GC.RM.8672.BT5011.6_quant,Control,ID006
GC.RM.8672.BT5011.7_quant,GC.RM.8672.BT5011.7_quant,Control,ID007
GC.RM.8672.BT5011.8_quant,GC.RM.8672.BT5011.8_quant,Control,ID008
GC.RM.8672.BT5011.9_quant,GC.RM.8672.BT5011.9_quant,Control,ID009